AV_exp,AV_work,CA_exp,CA_work,DP_exp,DP_work,DW_exp,DW_work,FP_exp,FP_work,FR_exp,FR_work,IC_exp,IC_work,IFf_exp,IFf_work,LD_exp,LD_work,OP_exp,OP_work,PG_exp,PG_work,RC_exp,RC_work,RS_exp,RS_work,SK_exp,SK_work,WC_exp,WC_work,WH_exp,WH_work,apr_PD_per_hh,apr_PD_per_hh_preyr,apr_lab,apr_lab_pre,april_delay,april_delay_amt,april_demand_reg,april_hh_P_emp,april_hh_P_emp_pre,april_lb,april_unemp,april_unemp_amt,april_unpaid_delay,april_unpaid_delay_amt,april_work_allot,aug_PD_per_hh,aug_PD_per_hh_preyr,aug_delay,aug_delay_amt,aug_demand_reg,aug_hh_P_emp,aug_hh_P_emp_pre,aug_lab,aug_lab_pre,aug_lb,aug_unemp,aug_unemp_amt,aug_unpaid_delay,aug_unpaid_delay_amt,aug_work_allot,block_code,code,dec_PD_per_hh,dec_PD_per_hh_preyr,dec_delay,dec_delay_amt,dec_demand_reg,dec_hh_P_emp,dec_hh_P_emp_pre,dec_lab,dec_lab_pre,dec_lb,dec_unemp,dec_unemp_amt,dec_unpaid_delay,dec_unpaid_delay_amt,dec_work_allot,district_code,feb_PD_per_hh,feb_PD_per_hh_preyr,feb_delay,feb_delay_amt,feb_demand_reg,feb_hh_P_emp,feb_hh_P_emp_pre,feb_lab,feb_lab_pre,feb_lb,feb_unemp,feb_unemp_amt,feb_unpaid_delay,feb_unpaid_delay_amt,feb_work_allot,jan_PD_per_hh,jan_PD_per_hh_preyr,jan_delay,jan_delay_amt,jan_demand_reg,jan_hh_P_emp,jan_hh_P_emp_pre,jan_lab,jan_lab_pre,jan_lb,jan_unemp,jan_unemp_amt,jan_unpaid_delay,jan_unpaid_delay_amt,jan_work_allot,jul_PD_per_hh,jul_PD_per_hh_preyr,jul_lab,jul_lab_pre,july_delay,july_delay_amt,july_demand_reg,july_hh_P_emp,july_hh_P_emp_pre,july_lb,july_unemp,july_unemp_amt,july_unpaid_delay,july_unpaid_delay_amt,july_work_allot,jun_PD_per_hh,jun_PD_per_hh_preyr,jun_lab,jun_lab_pre,june_delay,june_delay_amt,june_demand_reg,june_hh_P_emp,june_hh_P_emp_pre,june_lb,june_unemp,june_unemp_amt,june_unpaid_delay,june_unpaid_delay_amt,june_work_allot,mar_PD_per_hh,mar_PD_per_hh_preyr,mar_lab,mar_lab_pre,march_delay,march_delay_amt,march_demand_reg,march_hh_P_emp,march_hh_P_emp_pre,march_lb,march_unemp,march_unemp_amt,march_unpaid_delay,march_unpaid_delay_amt,march_work_allot,may_PD_per_hh,may_PD_per_hh_preyr,may_delay,may_delay_amt,may_demand_reg,may_hh_P_emp,may_hh_P_emp_pre,may_lab,may_lab_pre,may_lb,may_unemp,may_unemp_amt,may_unpaid_delay,may_unpaid_delay_amt,may_work_allot,nov_PD_per_hh,nov_PD_per_hh_preyr,nov_delay,nov_delay_amt,nov_demand_reg,nov_hh_P_emp,nov_hh_P_emp_pre,nov_lab,nov_lab_pre,nov_lb,nov_unemp,nov_unemp_amt,nov_unpaid_delay,nov_unpaid_delay_amt,nov_work_allot,oct_PD_per_hh,oct_PD_per_hh_preyr,oct_delay,oct_delay_amt,oct_demand_reg,oct_hh_P_emp,oct_hh_P_emp_pre,oct_lab,oct_lab_pre,oct_lb,oct_unemp,oct_unemp_amt,oct_unpaid_delay,oct_unpaid_delay_amt,oct_work_allot,sep_PD_per_hh,sep_PD_per_hh_preyr,sep_delay,sep_delay_amt,sep_demand_reg,sep_hh_P_emp,sep_hh_P_emp_pre,sep_lab,sep_lab_pre,sep_lb,sep_unemp,sep_unemp_amt,sep_unpaid_delay,sep_unpaid_delay_amt,sep_work_allot,state_code,timestamp,year
0.0,0,0.0,0,0.89,3,0.0,0,0.0,0,0.0,0,0.0,0,0.25,1,24.47,44,0.0,0,0,0,35.13,21,0.0,0,0.0,0,111.14,138,143.56,25,33,42,26.29,2.02,0,0,1398,1348,59,7540,0,0.0,0,0,45720,18,29,0,0,133,133,340,4.62,10.46,64850,0,0.0,0,0,2525,1101001,1101001,26,26,0,0,50,50,410,15.64,12.83,83821,0,0.0,0,0.0,1319,1101,22,27,1437,341,567,532,569,18.17,12.92,86557,0,0.0,0,0.0,11803,23,23,265,119,187,182,502,5.05,18.2,85489,0,0.0,0,0.0,4329,21,35,1.34,6.06,0,0,81,79,133,53648,0,0.0,0,0.0,1700,14,19,38.97,2.21,0,0,1176,1137,126,35626,0,0.0,0,0.0,16689,9,23,1.28,21.12,77,29,10,10,375,87985,0,0.0,0,0.0,95,41,25,0,0,1638,1594,105,95.96,3.97,16356,0,0.0,0,0.0,66669,31,21,0,0,894,894,277,26.98,7.52,80388,0,0.0,0,0.0,28404,13,29,0,0,86,85,565,2.14,24.13,78240,0,0.0,0,0.0,1186,24,42,0,0,266,257,431,6.1,23.96,72701,0,0.0,0,0.0,6277,11,2014-12-23 16:48:03,2013-2014
0.0,0,0.0,0,11.16,156,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.0,15,3.52,28,0,0,0.0,1,0.0,0,3.23,8,0.0,4,2.28,4,14,14,0.75,1.21,0,0,80,74,158,5365,0,0.0,0,0,1062,11,9,0,0,5,4,88,0.0,2.75,17168,0,0.0,0,0,44,1101002,1101002,17,25,0,0,106,93,12,0.71,0.39,26220,0,0.0,0,0.0,1581,1101,8,15,776,279,12,10,40,1.7,0.82,33986,0,0.0,0,0.0,81,10,15,2604,962,85,76,30,0.0,0.39,29568,0,0.0,0,0.0,774,12,18,0.26,4.93,0,0,53,28,157,16474,0,0.0,0,0.0,360,6,17,1.36,2.36,0,0,16,11,174,14547,0,0.0,0,0.0,68,9,14,1.16,0.49,92,35,30,11,64,38312,0,0.0,0,0.0,108,25,13,0,0,83,78,162,1.54,3.23,11110,0,0.0,0,0.0,2019,17,7,0,0,32,27,44,1.04,0.27,23341,0,0.0,0,0.0,462,16,13,0,0,31,31,47,0.53,0.56,20300,0,0.0,0,0.0,516,13,6,0,0,21,22,49,1.03,0.65,18375,0,0.0,0,0.0,300,11,2014-12-23 16:48:07,2013-2014
0.0,0,0.0,0,2.21,8,0.0,0,0.0,0,0.0,0,0.0,0,0.39,21,0.24,1,0.0,3,0,0,2.78,24,0.0,1,8.51,6,11.13,13,8.6,15,20,25,2.19,0.57,0,0,277,223,193,7370,0,0.0,0,0,4472,10,17,0,0,55,53,147,1.0,3.09,11681,0,0.0,0,0,545,1101003,1101003,16,14,0,0,40,39,21,0.56,0.52,24405,0,0.0,0,0.0,624,1101,13,23,744,304,65,36,24,1.51,0.36,39636,0,0.0,0,0.0,492,10,18,713,292,66,65,34,0.0,0.53,33333,0,0.0,0,0.0,702,14,16,1.32,8.39,0,0,63,58,226,10734,0,0.0,0,0.0,868,14,25,6.21,7.07,0,0,226,168,240,8960,0,0.0,0,0.0,2437,17,14,2.14,1.79,224,82,113,108,54,41717,0,0.0,0,0.0,1912,20,19,0,0,267,251,243,5.45,5.75,8082,0,0.0,0,0.0,5242,12,19,0,0,45,42,20,1.0,1.27,19748,0,0.0,0,0.0,535,12,20,0,0,76,72,83,1.48,1.23,15917,0,0.0,0,0.0,886,12,14,0,0,38,36,48,0.57,2.9,12412,0,0.0,0,0.0,450,11,2014-12-23 16:48:09,2013-2014
0.0,0,0.0,0,5.07,25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.83,7,0.0,4,0,0,5.04,19,3.26,17,12.37,7,20.58,20,0.0,0,12,23,0.79,0.31,0,0,382,350,191,3309,0,0.0,0,0,4419,7,11,0,0,15,5,278,0.05,11.13,23114,0,0.0,0,0,39,1101004,1101004,14,19,0,0,175,173,206,0.86,6.05,46483,0,0.0,0,0.0,2560,1101,0,17,123,54,4,0,125,2.53,2.26,60886,0,0.0,0,0.0,0,17,22,4311,1622,186,69,123,2.26,3.77,54252,0,0.0,0,0.0,1176,13,21,7.14,9.77,0,0,146,88,454,19851,0,0.0,0,0.0,1204,9,16,9.99,5.3,0,0,617,535,369,16060,0,0.0,0,0.0,5223,8,19,0.4,7.02,0,0,123,24,250,66243,0,0.0,0,0.0,214,24,17,0,0,649,559,337,6.08,4.18,7940,0,0.0,0,0.0,13694,10,25,0,0,96,78,210,2.05,8.32,41689,0,0.0,0,0.0,808,10,29,0,0,125,96,358,1.62,5.76,34405,0,0.0,0,0.0,1050,8,16,0,0,175,161,51,0.73,1.18,28463,0,0.0,0,0.0,1408,11,2014-12-23 16:48:11,2013-2014
0.0,0,0.0,0,269.97,314,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.44,4,4.82,8,0,0,1.06,5,0.0,0,19.83,7,77.62,27,9.58,4,33,35,7.45,8.8,0,0,1245,1161,412,10123,0,0.0,0,0,39129,17,19,0,0,70,59,525,1.82,17.96,35401,0,0.0,0,0,1032,1101005,1101005,18,20,0,0,1089,1036,69,17.38,1.88,65737,0,0.0,0,0.0,19202,1101,17,24,48211,15751,1348,1282,202,42.76,3.84,90001,12,882.0,0,0.0,22895,25,21,11808,4497,1732,1477,141,44.25,3.03,78492,0,0.0,0,0.0,37592,17,28,0.97,21.26,0,0,64,62,774,31333,0,0.0,0,0.0,1067,12,23,52.01,18.27,0,0,1075,846,490,28304,0,0.0,0,0.0,10674,17,22,24.08,10.0,9124,2695,961,888,350,101039,0,0.0,0,0.0,15719,25,34,0,0,1779,1642,580,31.86,11.41,20231,0,0.0,0,0.0,42570,25,16,0,0,780,703,140,23.01,5.1,56642,0,0.0,0,0.0,18049,26,28,0,0,641,606,274,15.05,7.52,46531,0,0.0,1,9397.76,16021,19,17,0,0,234,224,228,0.55,9.44,40459,0,0.0,0,0.0,4466,11,2014-12-23 16:48:13,2013-2014
0.0,0,0.0,0,49.59,46,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0,0,36.59,27,2.85,18,0.55,6,9.17,11,0.0,0,29,20,0.37,3.11,0,0,66,60,261,9063,0,0.0,0,0,1766,11,14,0,0,31,31,119,0.54,3.21,33990,0,0.0,0,0,364,1101006,1101006,29,38,0,0,188,163,77,4.09,2.35,47948,0,0.0,0,0.0,4789,1101,16,22,10478,4224,236,174,67,7.72,0.66,56370,0,0.0,0,0.0,2875,28,22,15395,6332,294,238,42,6.12,3.18,53461,0,0.0,0,0.0,6787,19,19,4.21,2.75,0,0,89,57,84,28323,0,0.0,1,1764.0,1085,27,17,2.97,6.37,0,0,152,118,76,22661,0,0.0,0,0.0,3247,17,18,0.75,2.81,3235,1283,110,93,55,56617,0,0.0,0,0.0,1640,24,39,0,0,113,106,310,4.48,13.11,16992,0,0.0,0,0.0,2586,16,19,0,0,154,116,23,8.35,0.2,45049,0,0.0,0,0.0,1957,29,47,0,0,199,170,94,0.31,6.62,42222,0,0.0,0,0.0,5048,20,13,0,0,20,20,97,0.7,0.8,39383,0,0.0,0,0.0,410,11,2014-12-23 16:48:15,2013-2014
0.0,0,0.0,0,90.37,93,0.56,4,0.0,0,0.0,0,0.0,0,0.51,1,2.71,2,14.61,25,0,0,43.55,43,0.0,0,3.6,1,18.5,17,17.69,17,24,16,3.32,0.62,0,0,1318,1060,91,10101,0,0.0,0,0,26273,16,23,0,0,324,295,712,3.93,8.41,32348,0,0.0,0,0,4746,1101007,1101007,31,17,0,0,395,382,300,16.89,2.62,50504,0,0.0,0,0.0,12203,1101,21,20,15013,5688,335,323,842,5.98,16.05,63489,0,0.0,0,0.0,6855,20,19,2778,1125,346,339,589,12.51,9.38,55969,0,0.0,0,0.0,6846,15,19,17.83,8.12,0,0,211,197,371,31018,0,0.0,0,0.0,3118,14,21,15.79,1.25,0,0,317,183,208,27414,0,0.0,0,0.0,2576,18,16,0.0,22.52,40537,13829,532,491,781,72138,0,0.0,0,0.0,8865,24,14,0,0,1336,1114,29,9.77,0.53,20888,0,0.0,0,0.0,27169,25,10,0,0,376,321,76,8.26,0.46,44010,0,0.0,0,0.0,8308,17,19,0,0,415,378,152,6.4,2.85,38232,0,0.0,0,0.0,6700,20,12,0,0,344,312,256,12.77,12.21,34537,0,0.0,0,0.0,6274,11,2014-12-23 16:48:16,2013-2014
0.0,0,0.0,0,11.5,22,3.18,8,0.0,0,0.0,0,0.36,1,18.94,198,0.11,4,0.0,15,0,0,30.47,35,2.96,11,3.08,3,33.85,19,0.0,0,17,24,3.4,11.45,0,0,712,511,956,2014,0,0.0,0,0,9011,13,14,0,0,23,19,409,0.23,4.29,5811,0,0.0,4,9261,254,1101008,1101008,16,18,0,0,186,186,246,0.68,6.95,12577,0,0.0,0,0.0,3084,1101,19,16,7792,3018,155,153,272,9.67,6.15,19219,0,0.0,0,0.0,3031,18,21,5643,2244,375,330,395,3.65,3.91,16219,0,0.0,2,26460.0,6095,22,19,13.22,2.29,0,0,35,20,120,5052,0,0.0,4,10584.0,449,14,28,15.5,18.2,0,0,342,192,346,3994,0,0.0,1,2646.0,2697,18,15,6.13,6.19,680,272,116,116,346,22725,0,0.0,0,0.0,2098,27,33,0,0,1079,827,1110,4.74,36.75,3015,0,0.0,1,1668.27,22690,12,15,0,0,11,11,168,4.19,0.64,10560,0,0.0,0,0.0,132,20,18,0,0,122,120,58,4.13,1.81,8440,0,0.0,0,0.0,2415,30,10,0,0,156,130,180,1.58,5.81,6756,0,0.0,1,4771.0,3953,11,2014-12-23 16:48:18,2013-2014
0.0,0,0.0,0,4.47,6,0.0,0,3.6,2,0.0,0,0.0,0,8.59,72,0.53,2,1.0,1,0,0,11.82,12,9.28,26,2.04,4,2.28,4,6.79,3,25,28,0.54,4.41,0,0,355,267,259,9000,0,0.0,0,0,6721,17,21,0,0,44,40,227,0.47,4.65,28935,0,0.0,0,0,684,1101009,1101009,22,28,0,0,156,135,310,2.78,7.39,57932,0,0.0,0,0.0,2984,1101,24,16,16433,6708,147,140,154,4.48,5.09,73773,0,0.0,0,0.0,3365,24,26,13465,5689,245,198,396,3.11,13.66,66032,0,0.0,0,0.0,4835,20,14,1.43,8.26,0,0,48,29,236,24735,0,0.0,0,0.0,580,12,22,6.62,13.95,0,0,214,123,408,19330,0,0.0,2,3242.89,1534,18,16,9.36,2.79,1574,572,134,109,153,82260,0,0.0,0,0.0,2046,17,32,0,0,163,107,357,2.13,12.89,15000,0,0.0,0,0.0,1878,16,21,0,0,47,43,120,1.32,5.55,50382,0,0.0,0,0.0,708,14,18,0,0,28,28,328,0.69,5.71,42528,0,0.0,0,0.0,404,14,20,0,0,82,76,240,1.4,5.63,35500,0,0.0,3,50.0,1131,11,2014-12-23 16:48:20,2013-2014
0.0,0,0.0,0,8.5,15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.77,2,0.0,0,0,0,25.81,16,0.41,11,3.2,3,8.74,39,31.85,21,31,20,1.34,11.09,0,0,530,464,356,5660,0,0.0,0,0,14454,12,14,0,0,52,48,236,0.83,1.44,22205,0,0.0,0,0,610,1101010,1101010,20,18,0,0,117,115,185,3.94,2.31,41588,0,0.0,0,0.0,2354,1101,19,19,3782,1163,238,230,157,9.92,3.52,54071,0,0.0,6,16758.0,4375,27,24,1222,387,291,289,156,7.2,3.96,48006,0,0.0,0,0.0,8011,17,25,1.33,3.06,0,0,64,61,82,17642,0,0.0,0,0.0,1065,11,23,12.83,2.81,0,0,391,335,117,13726,0,0.0,0,0.0,3828,0,20,0.54,13.28,0,0,0,0,455,50209,0,0.0,0,0.0,0,27,19,0,0,513,492,98,21.53,2.43,11109,0,0.0,0,0.0,13340,16,18,0,0,102,100,165,3.26,2.18,35664,0,0.0,0,0.0,1695,19,23,0,0,98,94,111,1.39,2.31,30508,0,0.0,0,0.0,1787,19,37,0,0,78,75,84,1.67,6.21,26833,0,0.0,0,0.0,1466,11,2014-12-23 16:48:22,2013-2014
